"","Mês_Ano","Ano_Mes","ASCENSIONAL","SUPERFICIAL","TotalDia","Data"
"1","12/2019","2019-12",810520.13,145819.39,31877.984,2019-12-01
"2","01/2020","2020-01",995681,189591.28,39509.076,2020-01-01
"3","02/2020","2020-02",859499,163337,34094.5333333333,2020-02-01
"4","03/2020","2020-03",959475,178462,37931.2333333333,2020-03-01
"5","04/2020","2020-04",877779,165260,34767.9666666667,2020-04-01
"6","05/2020","2020-05",917272,172686,36331.9333333333,2020-05-01
"7","06/2020","2020-06",781144,150819,31065.4333333333,2020-06-01
"8","07/2020","2020-07",796486,156534.63,31767.3543333333,2020-07-01
"9","08/2020","2020-08",798876.2,153447.88,31744.136,2020-08-01
"10","09/2020","2020-09",873559.01,166453.6,34667.087,2020-09-01
"11","10/2020","2020-10",894821.32,170829.98,35521.71,2020-10-01
"12","11/2020","2020-11",873561.89,166484.84,34668.2243333333,2020-11-01
"13","12/2020","2020-12",966708.8,181832.46,38284.7086666667,2020-12-01
"14","01/2021","2021-01",1045795.48,198684.95,41482.681,2021-01-01
"15","02/2021","2021-02",957005.36,184328.55,38044.4636666667,2021-02-01
"16","03/2021","2021-03",1057489.39,205797.94,42109.5776666667,2021-03-01
"17","04/2021","2021-04",1072614.44,208465.2,42702.6546666667,2021-04-01
"18","05/2021","2021-05",995859.75,185563.85,39380.7866666667,2021-05-01
"19","06/2021","2021-06",1084613.25,200260.46,42829.1236666667,2021-06-01
"20","07/2021","2021-07",1138551.82,216117.72,45155.6513333333,2021-07-01
"21","08/2021","2021-08",1280406.5,245600.08,50866.886,2021-08-01
"22","09/2021","2021-09",1190410.35,230232,47354.745,2021-09-01
"23","10/2021","2021-10",1280769.05,249333.04,51003.403,2021-10-01
"24","11/2021","2021-11",1319323.42,260283.62,52653.568,2021-11-01
"25","12/2021","2021-12",1418919.55,278940.39,56595.3313333333,2021-12-01
"26","01/2022","2022-01",1353834.78,267001.83,54027.887,2022-01-01
"27","02/2022","2022-02",1308983.96,259143.12,52270.9026666667,2022-02-01
"28","03/2022","2022-03",1460705.73,289280.47,58332.8733333333,2022-03-01
"29","04/2022","2022-04",1270151.62,254229.48,50812.7033333333,2022-04-01
"30","05/2022","2022-05",1498009.66,296230.32,59807.9993333333,2022-05-01
"31","06/2022","2022-06",1277104.02,260026.89,51237.697,2022-06-01
